@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R8-19

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute can-north numeric
@attribute can-south numeric
@attribute can-east numeric
@attribute can-west numeric
@attribute can-stop numeric
@attribute ghost1-distance numeric
@attribute ghost2-distance numeric
@attribute ghost3-distance numeric
@attribute ghost4-distance numeric
@attribute direction {North,South,East,West,Stop}

@data
1,3,1,0,1,0,1,0,0,0,17,Stop
1,3,1,0,1,0,1,0,0,0,18,East
2,3,1,0,1,1,1,0,0,0,16,East
3,3,1,0,1,1,1,0,0,0,16,East
4,3,1,0,1,1,1,0,0,0,15,East
5,3,1,0,1,1,1,0,0,0,13,East
6,3,1,0,1,1,1,0,0,0,13,East
7,3,1,0,1,1,1,0,0,0,11,East
8,3,1,0,1,1,1,0,0,0,10,East
9,3,1,0,1,1,1,0,0,0,10,East
10,3,1,0,1,1,1,0,0,0,8,North
10,4,1,1,1,1,1,0,0,0,8,North
10,5,1,1,1,1,1,0,0,0,9,East
11,5,0,1,1,1,1,0,0,0,9,East
12,5,0,0,1,1,1,0,0,0,7,East
13,5,0,1,1,1,1,0,0,0,6,East
14,5,1,1,1,1,1,0,0,0,4,East
15,5,0,1,1,1,1,0,0,0,3,East
16,5,0,1,1,1,1,0,0,0,3,South
16,4,1,1,1,1,1,0,0,0,1,South
16,3,1,0,1,1,1,0,0,0,1,East
1,11,0,1,1,0,1,11,7,7,18,Stop
1,11,0,1,1,0,1,12,6,6,18,Stop
1,11,0,1,1,0,1,11,7,5,17,East
2,11,0,0,1,1,1,11,5,3,16,East
3,11,0,0,1,1,1,9,3,3,16,East
4,11,0,0,1,1,1,7,2,3,14,East
5,11,0,1,1,1,1,9,3,1,12,South
5,10,1,1,1,0,1,7,3,1,11,South
5,9,1,1,1,1,1,6,3,2,10,West
4,9,0,1,1,1,1,6,3,4,12,West
3,9,0,1,1,1,1,5,1,5,14,West
2,9,0,1,1,1,1,5,0,7,14,West
1,9,1,1,1,0,1,7,0,7,14,East
2,9,0,1,1,1,1,5,0,5,12,East
3,9,0,1,1,1,1,5,0,4,11,East
4,9,0,1,1,1,1,5,0,4,11,East
5,9,1,1,1,1,1,5,0,2,9,North
5,10,1,1,1,0,1,7,0,2,10,North
5,11,0,1,1,1,1,8,0,1,10,East
6,11,0,1,1,1,1,9,0,1,9,West
5,11,0,1,1,1,1,9,0,0,11,West
4,11,0,0,1,1,1,9,0,0,11,East
5,11,0,1,1,1,1,11,0,0,9,South
5,10,1,1,1,0,1,11,0,0,7,South
5,9,1,1,1,1,1,10,0,0,6,East
6,9,1,1,1,1,1,10,0,0,6,East
7,9,0,1,1,1,1,11,0,0,6,East
8,9,0,1,1,1,1,13,0,0,6,East
9,9,0,1,1,1,1,13,0,0,6,East
10,9,1,1,1,1,1,13,0,0,4,East
11,9,1,0,1,1,1,13,0,0,3,East
12,9,0,1,1,1,1,14,0,0,1,East
13,9,0,1,1,1,1,16,0,0,0,East
14,9,1,1,1,1,1,16,0,0,0,South
14,8,1,1,1,1,1,14,0,0,0,South
14,7,1,1,1,1,1,14,0,0,0,South
14,6,1,1,0,0,1,12,0,0,0,South
14,5,1,1,1,1,1,12,0,0,0,West
13,5,0,1,1,1,1,11,0,0,0,West
12,5,0,0,1,1,1,11,0,0,0,West
11,5,0,1,1,1,1,11,0,0,0,West
10,5,1,1,1,1,1,11,0,0,0,West
9,5,1,1,1,1,1,9,0,0,0,West
8,5,1,1,1,1,1,7,0,0,0,West
7,5,0,1,1,1,1,7,0,0,0,West
6,5,0,1,1,1,1,6,0,0,0,West
5,5,0,1,1,1,1,6,0,0,0,West
4,5,0,1,1,1,1,5,0,0,0,West
3,5,0,1,1,1,1,4,0,0,0,West
2,5,0,1,1,1,1,2,0,0,0,West
1,5,1,1,1,0,1,3,0,0,0,South
1,4,1,1,1,0,1,1,0,0,0,East
2,4,1,1,1,1,1,2,0,0,0,East
3,4,1,1,1,1,1,3,0,0,0,South
3,3,1,0,1,1,1,1,0,0,0,West
