@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R3-7

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute ghost1-live numeric
@attribute ghost2-live numeric
@attribute ghost3-live numeric
@attribute ghost4-live numeric
@attribute ghost1-pos-x numeric
@attribute ghost1-pos-y numeric
@attribute ghost2-pos-x numeric
@attribute ghost2-pos-y numeric
@attribute ghost3-pos-x numeric
@attribute ghost3-pos-y numeric
@attribute ghost4-pos-x numeric
@attribute ghost4-pos-y numeric
@attribute direction {North,South,East,West,Stop}

@data
7,9,1,0,1,1,7,5,3,1,11,9,15,5,East
8,9,1,0,1,1,6,5,3,1,10,9,16,5,East
9,9,1,0,1,1,6,4,3,1,10,8,17,5,East
10,9,1,0,1,1,5,4,3,1,10,7,17,4,East
11,9,1,0,1,1,5,5,3,1,10,8,17,3,West
10,9,1,0,1,1,5,5,3,1,9,8,16,3,South
10,8,1,0,1,1,6,5,3,1,9,8,15,3,South
10,7,1,0,1,1,5,5,3,1,9,7,15,3,West
9,7,1,0,0,1,5,5,3,1,5,1,16,3,North
9,8,1,0,0,1,4,5,3,1,5,1,16,3,South
9,7,1,0,0,1,4,4,3,1,5,1,17,3,South
9,6,1,0,0,1,4,3,3,1,5,1,16,3,West
8,6,1,0,0,1,3,3,3,1,5,1,15,3,South
8,5,1,0,0,1,4,3,3,1,5,1,15,3,West
7,5,1,0,0,1,3,3,3,1,5,1,16,3,West
6,5,1,0,0,1,2,3,3,1,5,1,15,3,West
5,5,1,0,0,1,2,3,3,1,5,1,16,3,West
4,5,1,0,0,1,2,4,3,1,5,1,17,3,West
3,5,1,0,0,1,1,4,3,1,5,1,16,3,West
2,5,1,0,0,1,2,4,3,1,5,1,16,3,West
1,5,1,0,0,1,2,4,3,1,5,1,17,3,South
1,4,0,0,0,1,1,1,3,1,5,1,17,4,East
2,4,0,0,0,1,1,1,3,1,5,1,17,3,East
3,4,0,0,0,1,1,1,3,1,5,1,16,3,East
4,4,0,0,0,1,1,1,3,1,5,1,16,4,East
5,4,0,0,0,1,1,1,3,1,5,1,16,4,East
6,4,0,0,0,1,1,1,3,1,5,1,15,4,East
7,4,0,0,0,1,1,1,3,1,5,1,15,5,East
8,4,0,0,0,1,1,1,3,1,5,1,15,4,East
9,4,0,0,0,1,1,1,3,1,5,1,14,4,East
10,4,0,0,0,1,1,1,3,1,5,1,14,5,North
10,5,0,0,0,1,1,1,3,1,5,1,13,5,East
1,11,1,1,1,1,6,5,6,9,8,11,14,6,Stop
1,11,1,1,1,1,6,5,7,9,8,11,14,6,Stop
1,11,1,1,1,1,5,5,8,9,9,11,14,6,East
2,11,1,1,1,1,5,5,8,9,9,11,14,6,East
3,11,1,1,1,1,6,5,9,9,8,11,14,7,East
4,11,1,1,1,1,6,4,10,9,9,11,15,7,East
5,11,1,1,1,1,6,4,10,10,8,11,14,7,East
6,11,1,1,1,1,6,3,11,10,7,11,14,8,East
7,11,1,1,0,1,5,3,11,10,5,1,15,8,East
8,11,1,1,0,1,5,3,11,11,5,1,15,7,East
9,11,1,1,0,1,5,3,12,11,5,1,15,7,East
10,11,1,1,0,1,5,3,13,11,5,1,14,7,East
11,11,1,1,0,1,5,4,13,11,5,1,15,7,East
12,11,1,1,0,1,5,4,14,11,5,1,16,7,East
13,11,1,1,0,1,5,5,14,11,5,1,15,7,East
14,11,1,0,0,1,4,5,3,1,5,1,15,7,East
15,11,1,0,0,1,5,5,3,1,5,1,15,8,East
16,11,1,0,0,1,5,5,3,1,5,1,16,8,West
15,11,1,0,0,1,4,5,3,1,5,1,16,7,West
14,11,1,0,0,1,4,4,3,1,5,1,17,7,South
14,10,1,0,0,1,5,4,3,1,5,1,18,7,South
14,9,1,0,0,1,5,3,3,1,5,1,17,7,East
15,9,1,0,0,1,5,3,3,1,5,1,18,7,South
15,8,1,0,0,1,4,3,3,1,5,1,17,7,East
16,8,1,0,0,1,4,4,3,1,5,1,16,7,East
17,8,1,0,0,1,4,4,3,1,5,1,16,7,South
17,7,1,0,0,1,4,3,3,1,5,1,16,8,West
16,7,1,0,0,1,3,3,3,1,5,1,17,8,North
16,8,1,0,0,1,2,3,3,1,5,1,17,7,East
17,8,1,0,0,1,3,3,3,1,5,1,16,7,South
17,7,1,0,0,0,3,4,3,1,5,1,7,1,West
16,7,1,0,0,0,2,4,3,1,5,1,7,1,West
15,7,1,0,0,0,2,4,3,1,5,1,7,1,West
14,7,1,0,0,0,2,3,3,1,5,1,7,1,South
14,6,1,0,0,0,3,3,3,1,5,1,7,1,South
14,5,1,0,0,0,3,4,3,1,5,1,7,1,West
13,5,1,0,0,0,2,4,3,1,5,1,7,1,West
12,5,1,0,0,0,2,4,3,1,5,1,7,1,West
11,5,1,0,0,0,1,4,3,1,5,1,7,1,West
